ID,Resume_str,Resume_html,Category
464,"Business Analyst professional with 6 years of experience in dashboard reporting, client communication, and data interpretation.","<p>Business Analyst professional with <b>6 years</b> of experience in <i>dashboard reporting</i>, <i>client communication</i>, and <i>data interpretation</i>.</p>",Business Analyst
465,"Software Engineer professional with 1 years of experience in algorithms, MongoDB, and Python.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>algorithms</i>, <i>MongoDB</i>, and <i>Python</i>.</p>",Software Engineer
466,"Software Engineer professional with 4 years of experience in Java, Node.js, and backend development.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>Java</i>, <i>Node.js</i>, and <i>backend development</i>.</p>",Software Engineer
467,"Business Analyst professional with 5 years of experience in Power BI, SQL, and client communication.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>Power BI</i>, <i>SQL</i>, and <i>client communication</i>.</p>",Business Analyst
468,"HR professional with 6 years of experience in conflict resolution, talent acquisition, and HR policies.","<p>HR professional with <b>6 years</b> of experience in <i>conflict resolution</i>, <i>talent acquisition</i>, and <i>HR policies</i>.</p>",HR
469,"HR professional with 4 years of experience in talent acquisition, onboarding, and conflict resolution.","<p>HR professional with <b>4 years</b> of experience in <i>talent acquisition</i>, <i>onboarding</i>, and <i>conflict resolution</i>.</p>",HR
470,"HR professional with 5 years of experience in recruitment, onboarding, and HR policies.","<p>HR professional with <b>5 years</b> of experience in <i>recruitment</i>, <i>onboarding</i>, and <i>HR policies</i>.</p>",HR
471,"Business Analyst professional with 2 years of experience in data interpretation, client communication, and Power BI.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>data interpretation</i>, <i>client communication</i>, and <i>Power BI</i>.</p>",Business Analyst
472,"HR professional with 5 years of experience in onboarding, talent acquisition, and conflict resolution.","<p>HR professional with <b>5 years</b> of experience in <i>onboarding</i>, <i>talent acquisition</i>, and <i>conflict resolution</i>.</p>",HR
473,"HR professional with 1 years of experience in HR policies, talent acquisition, and employee engagement.","<p>HR professional with <b>1 years</b> of experience in <i>HR policies</i>, <i>talent acquisition</i>, and <i>employee engagement</i>.</p>",HR
474,"Marketing professional with 3 years of experience in SEO, social media, and digital campaigns.","<p>Marketing professional with <b>3 years</b> of experience in <i>SEO</i>, <i>social media</i>, and <i>digital campaigns</i>.</p>",Marketing
475,"Mechanical Engineer professional with 3 years of experience in CAD tools, AutoCAD, and SolidWorks.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>CAD tools</i>, <i>AutoCAD</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
476,"Mechanical Engineer professional with 4 years of experience in quality inspection, manufacturing processes, and thermodynamics.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>quality inspection</i>, <i>manufacturing processes</i>, and <i>thermodynamics</i>.</p>",Mechanical Engineer
477,"Business Analyst professional with 1 years of experience in Excel, Power BI, and client communication.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>Excel</i>, <i>Power BI</i>, and <i>client communication</i>.</p>",Business Analyst
478,"Business Analyst professional with 3 years of experience in data interpretation, Power BI, and SQL.","<p>Business Analyst professional with <b>3 years</b> of experience in <i>data interpretation</i>, <i>Power BI</i>, and <i>SQL</i>.</p>",Business Analyst
479,"Mechanical Engineer professional with 1 years of experience in manufacturing processes, quality inspection, and SolidWorks.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>manufacturing processes</i>, <i>quality inspection</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
480,"Mechanical Engineer professional with 1 years of experience in manufacturing processes, SolidWorks, and AutoCAD.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>manufacturing processes</i>, <i>SolidWorks</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
481,"Marketing professional with 4 years of experience in digital campaigns, SEO, and SEM.","<p>Marketing professional with <b>4 years</b> of experience in <i>digital campaigns</i>, <i>SEO</i>, and <i>SEM</i>.</p>",Marketing
482,"Marketing professional with 4 years of experience in analytics, social media, and content creation.","<p>Marketing professional with <b>4 years</b> of experience in <i>analytics</i>, <i>social media</i>, and <i>content creation</i>.</p>",Marketing
483,"HR professional with 3 years of experience in employee engagement, onboarding, and talent acquisition.","<p>HR professional with <b>3 years</b> of experience in <i>employee engagement</i>, <i>onboarding</i>, and <i>talent acquisition</i>.</p>",HR
484,"Business Analyst professional with 7 years of experience in dashboard reporting, client communication, and data interpretation.","<p>Business Analyst professional with <b>7 years</b> of experience in <i>dashboard reporting</i>, <i>client communication</i>, and <i>data interpretation</i>.</p>",Business Analyst
485,"Marketing professional with 4 years of experience in analytics, digital campaigns, and content creation.","<p>Marketing professional with <b>4 years</b> of experience in <i>analytics</i>, <i>digital campaigns</i>, and <i>content creation</i>.</p>",Marketing
486,"Marketing professional with 7 years of experience in SEM, content creation, and analytics.","<p>Marketing professional with <b>7 years</b> of experience in <i>SEM</i>, <i>content creation</i>, and <i>analytics</i>.</p>",Marketing
487,"Software Engineer professional with 4 years of experience in Java, algorithms, and Python.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>Java</i>, <i>algorithms</i>, and <i>Python</i>.</p>",Software Engineer
488,"HR professional with 6 years of experience in conflict resolution, employee engagement, and HR policies.","<p>HR professional with <b>6 years</b> of experience in <i>conflict resolution</i>, <i>employee engagement</i>, and <i>HR policies</i>.</p>",HR
489,"Business Analyst professional with 2 years of experience in dashboard reporting, Excel, and Power BI.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>dashboard reporting</i>, <i>Excel</i>, and <i>Power BI</i>.</p>",Business Analyst
490,"Software Engineer professional with 4 years of experience in MongoDB, data structures, and Node.js.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>MongoDB</i>, <i>data structures</i>, and <i>Node.js</i>.</p>",Software Engineer
491,"Business Analyst professional with 6 years of experience in Power BI, Excel, and data interpretation.","<p>Business Analyst professional with <b>6 years</b> of experience in <i>Power BI</i>, <i>Excel</i>, and <i>data interpretation</i>.</p>",Business Analyst
492,"HR professional with 7 years of experience in talent acquisition, employee engagement, and HR policies.","<p>HR professional with <b>7 years</b> of experience in <i>talent acquisition</i>, <i>employee engagement</i>, and <i>HR policies</i>.</p>",HR
493,"Marketing professional with 7 years of experience in SEM, digital campaigns, and SEO.","<p>Marketing professional with <b>7 years</b> of experience in <i>SEM</i>, <i>digital campaigns</i>, and <i>SEO</i>.</p>",Marketing
494,"Software Engineer professional with 4 years of experience in Java, algorithms, and backend development.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>Java</i>, <i>algorithms</i>, and <i>backend development</i>.</p>",Software Engineer
495,"Software Engineer professional with 4 years of experience in Node.js, MongoDB, and data structures.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>Node.js</i>, <i>MongoDB</i>, and <i>data structures</i>.</p>",Software Engineer
496,"Software Engineer professional with 3 years of experience in data structures, backend development, and Node.js.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>data structures</i>, <i>backend development</i>, and <i>Node.js</i>.</p>",Software Engineer
497,"Marketing professional with 2 years of experience in digital campaigns, SEM, and content creation.","<p>Marketing professional with <b>2 years</b> of experience in <i>digital campaigns</i>, <i>SEM</i>, and <i>content creation</i>.</p>",Marketing
498,"Software Engineer professional with 3 years of experience in data structures, MongoDB, and Node.js.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>data structures</i>, <i>MongoDB</i>, and <i>Node.js</i>.</p>",Software Engineer
499,"Mechanical Engineer professional with 2 years of experience in SolidWorks, thermodynamics, and AutoCAD.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>SolidWorks</i>, <i>thermodynamics</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
500,"HR professional with 3 years of experience in HR policies, talent acquisition, and recruitment.","<p>HR professional with <b>3 years</b> of experience in <i>HR policies</i>, <i>talent acquisition</i>, and <i>recruitment</i>.</p>",HR
501,"Software Engineer professional with 4 years of experience in Java, data structures, and Node.js.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>Java</i>, <i>data structures</i>, and <i>Node.js</i>.</p>",Software Engineer
502,"Marketing professional with 2 years of experience in analytics, SEO, and social media.","<p>Marketing professional with <b>2 years</b> of experience in <i>analytics</i>, <i>SEO</i>, and <i>social media</i>.</p>",Marketing
503,"HR professional with 2 years of experience in recruitment, onboarding, and conflict resolution.","<p>HR professional with <b>2 years</b> of experience in <i>recruitment</i>, <i>onboarding</i>, and <i>conflict resolution</i>.</p>",HR
504,"Mechanical Engineer professional with 7 years of experience in manufacturing processes, SolidWorks, and quality inspection.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>manufacturing processes</i>, <i>SolidWorks</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
505,"Mechanical Engineer professional with 2 years of experience in manufacturing processes, CAD tools, and SolidWorks.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>manufacturing processes</i>, <i>CAD tools</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
506,"HR professional with 3 years of experience in recruitment, talent acquisition, and HR policies.","<p>HR professional with <b>3 years</b> of experience in <i>recruitment</i>, <i>talent acquisition</i>, and <i>HR policies</i>.</p>",HR
507,"HR professional with 2 years of experience in conflict resolution, onboarding, and HR policies.","<p>HR professional with <b>2 years</b> of experience in <i>conflict resolution</i>, <i>onboarding</i>, and <i>HR policies</i>.</p>",HR
508,"Marketing professional with 6 years of experience in SEM, social media, and analytics.","<p>Marketing professional with <b>6 years</b> of experience in <i>SEM</i>, <i>social media</i>, and <i>analytics</i>.</p>",Marketing
509,"HR professional with 3 years of experience in recruitment, HR policies, and talent acquisition.","<p>HR professional with <b>3 years</b> of experience in <i>recruitment</i>, <i>HR policies</i>, and <i>talent acquisition</i>.</p>",HR
510,"Mechanical Engineer professional with 2 years of experience in SolidWorks, AutoCAD, and quality inspection.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>SolidWorks</i>, <i>AutoCAD</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
511,"HR professional with 3 years of experience in employee engagement, HR policies, and talent acquisition.","<p>HR professional with <b>3 years</b> of experience in <i>employee engagement</i>, <i>HR policies</i>, and <i>talent acquisition</i>.</p>",HR
512,"Software Engineer professional with 3 years of experience in Node.js, backend development, and Java.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>Node.js</i>, <i>backend development</i>, and <i>Java</i>.</p>",Software Engineer
513,"Business Analyst professional with 1 years of experience in client communication, data interpretation, and dashboard reporting.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>client communication</i>, <i>data interpretation</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
514,"HR professional with 1 years of experience in onboarding, employee engagement, and conflict resolution.","<p>HR professional with <b>1 years</b> of experience in <i>onboarding</i>, <i>employee engagement</i>, and <i>conflict resolution</i>.</p>",HR
515,"Mechanical Engineer professional with 3 years of experience in SolidWorks, manufacturing processes, and AutoCAD.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>SolidWorks</i>, <i>manufacturing processes</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
516,"Software Engineer professional with 4 years of experience in Java, Node.js, and MongoDB.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>Java</i>, <i>Node.js</i>, and <i>MongoDB</i>.</p>",Software Engineer
517,"Business Analyst professional with 1 years of experience in SQL, data interpretation, and client communication.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>SQL</i>, <i>data interpretation</i>, and <i>client communication</i>.</p>",Business Analyst
518,"HR professional with 1 years of experience in talent acquisition, onboarding, and recruitment.","<p>HR professional with <b>1 years</b> of experience in <i>talent acquisition</i>, <i>onboarding</i>, and <i>recruitment</i>.</p>",HR
519,"Business Analyst professional with 2 years of experience in data interpretation, SQL, and dashboard reporting.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>data interpretation</i>, <i>SQL</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
520,"Mechanical Engineer professional with 4 years of experience in AutoCAD, thermodynamics, and SolidWorks.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>AutoCAD</i>, <i>thermodynamics</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
521,"Software Engineer professional with 2 years of experience in Python, data structures, and Java.","<p>Software Engineer professional with <b>2 years</b> of experience in <i>Python</i>, <i>data structures</i>, and <i>Java</i>.</p>",Software Engineer
522,"Marketing professional with 2 years of experience in SEO, analytics, and content creation.","<p>Marketing professional with <b>2 years</b> of experience in <i>SEO</i>, <i>analytics</i>, and <i>content creation</i>.</p>",Marketing
523,"Mechanical Engineer professional with 2 years of experience in manufacturing processes, quality inspection, and thermodynamics.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>manufacturing processes</i>, <i>quality inspection</i>, and <i>thermodynamics</i>.</p>",Mechanical Engineer
524,"Business Analyst professional with 5 years of experience in data interpretation, dashboard reporting, and SQL.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>data interpretation</i>, <i>dashboard reporting</i>, and <i>SQL</i>.</p>",Business Analyst
525,"Software Engineer professional with 3 years of experience in Node.js, Python, and MongoDB.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>Node.js</i>, <i>Python</i>, and <i>MongoDB</i>.</p>",Software Engineer
526,"HR professional with 7 years of experience in employee engagement, HR policies, and onboarding.","<p>HR professional with <b>7 years</b> of experience in <i>employee engagement</i>, <i>HR policies</i>, and <i>onboarding</i>.</p>",HR
527,"Mechanical Engineer professional with 7 years of experience in CAD tools, SolidWorks, and quality inspection.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>CAD tools</i>, <i>SolidWorks</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
528,"Mechanical Engineer professional with 1 years of experience in manufacturing processes, AutoCAD, and CAD tools.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>manufacturing processes</i>, <i>AutoCAD</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
529,"HR professional with 2 years of experience in onboarding, employee engagement, and HR policies.","<p>HR professional with <b>2 years</b> of experience in <i>onboarding</i>, <i>employee engagement</i>, and <i>HR policies</i>.</p>",HR
530,"Mechanical Engineer professional with 5 years of experience in SolidWorks, AutoCAD, and quality inspection.","<p>Mechanical Engineer professional with <b>5 years</b> of experience in <i>SolidWorks</i>, <i>AutoCAD</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
531,"Software Engineer professional with 3 years of experience in Node.js, Python, and backend development.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>Node.js</i>, <i>Python</i>, and <i>backend development</i>.</p>",Software Engineer
532,"HR professional with 1 years of experience in talent acquisition, onboarding, and HR policies.","<p>HR professional with <b>1 years</b> of experience in <i>talent acquisition</i>, <i>onboarding</i>, and <i>HR policies</i>.</p>",HR
533,"Marketing professional with 1 years of experience in digital campaigns, content creation, and SEO.","<p>Marketing professional with <b>1 years</b> of experience in <i>digital campaigns</i>, <i>content creation</i>, and <i>SEO</i>.</p>",Marketing
534,"Business Analyst professional with 5 years of experience in data interpretation, Power BI, and SQL.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>data interpretation</i>, <i>Power BI</i>, and <i>SQL</i>.</p>",Business Analyst
535,"Business Analyst professional with 1 years of experience in client communication, SQL, and data interpretation.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>client communication</i>, <i>SQL</i>, and <i>data interpretation</i>.</p>",Business Analyst
536,"HR professional with 3 years of experience in HR policies, conflict resolution, and recruitment.","<p>HR professional with <b>3 years</b> of experience in <i>HR policies</i>, <i>conflict resolution</i>, and <i>recruitment</i>.</p>",HR
537,"HR professional with 1 years of experience in onboarding, conflict resolution, and recruitment.","<p>HR professional with <b>1 years</b> of experience in <i>onboarding</i>, <i>conflict resolution</i>, and <i>recruitment</i>.</p>",HR
538,"Marketing professional with 6 years of experience in digital campaigns, analytics, and SEO.","<p>Marketing professional with <b>6 years</b> of experience in <i>digital campaigns</i>, <i>analytics</i>, and <i>SEO</i>.</p>",Marketing
539,"HR professional with 4 years of experience in recruitment, onboarding, and conflict resolution.","<p>HR professional with <b>4 years</b> of experience in <i>recruitment</i>, <i>onboarding</i>, and <i>conflict resolution</i>.</p>",HR
540,"Business Analyst professional with 3 years of experience in client communication, data interpretation, and Power BI.","<p>Business Analyst professional with <b>3 years</b> of experience in <i>client communication</i>, <i>data interpretation</i>, and <i>Power BI</i>.</p>",Business Analyst
541,"Software Engineer professional with 1 years of experience in Java, algorithms, and Node.js.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>Java</i>, <i>algorithms</i>, and <i>Node.js</i>.</p>",Software Engineer
542,"Marketing professional with 4 years of experience in social media, SEO, and digital campaigns.","<p>Marketing professional with <b>4 years</b> of experience in <i>social media</i>, <i>SEO</i>, and <i>digital campaigns</i>.</p>",Marketing
543,"Mechanical Engineer professional with 1 years of experience in thermodynamics, SolidWorks, and quality inspection.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>thermodynamics</i>, <i>SolidWorks</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
544,"Software Engineer professional with 4 years of experience in Java, MongoDB, and Python.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>Java</i>, <i>MongoDB</i>, and <i>Python</i>.</p>",Software Engineer
545,"HR professional with 5 years of experience in talent acquisition, HR policies, and conflict resolution.","<p>HR professional with <b>5 years</b> of experience in <i>talent acquisition</i>, <i>HR policies</i>, and <i>conflict resolution</i>.</p>",HR
546,"HR professional with 5 years of experience in onboarding, talent acquisition, and HR policies.","<p>HR professional with <b>5 years</b> of experience in <i>onboarding</i>, <i>talent acquisition</i>, and <i>HR policies</i>.</p>",HR
547,"Software Engineer professional with 5 years of experience in Java, data structures, and algorithms.","<p>Software Engineer professional with <b>5 years</b> of experience in <i>Java</i>, <i>data structures</i>, and <i>algorithms</i>.</p>",Software Engineer
548,"Business Analyst professional with 1 years of experience in Power BI, SQL, and dashboard reporting.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>Power BI</i>, <i>SQL</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
549,"HR professional with 2 years of experience in employee engagement, talent acquisition, and onboarding.","<p>HR professional with <b>2 years</b> of experience in <i>employee engagement</i>, <i>talent acquisition</i>, and <i>onboarding</i>.</p>",HR
550,"Software Engineer professional with 4 years of experience in Java, algorithms, and MongoDB.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>Java</i>, <i>algorithms</i>, and <i>MongoDB</i>.</p>",Software Engineer
551,"HR professional with 5 years of experience in recruitment, employee engagement, and HR policies.","<p>HR professional with <b>5 years</b> of experience in <i>recruitment</i>, <i>employee engagement</i>, and <i>HR policies</i>.</p>",HR
552,"Business Analyst professional with 2 years of experience in data interpretation, Power BI, and client communication.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>data interpretation</i>, <i>Power BI</i>, and <i>client communication</i>.</p>",Business Analyst
553,"HR professional with 6 years of experience in conflict resolution, talent acquisition, and onboarding.","<p>HR professional with <b>6 years</b> of experience in <i>conflict resolution</i>, <i>talent acquisition</i>, and <i>onboarding</i>.</p>",HR
554,"Business Analyst professional with 7 years of experience in Power BI, data interpretation, and Excel.","<p>Business Analyst professional with <b>7 years</b> of experience in <i>Power BI</i>, <i>data interpretation</i>, and <i>Excel</i>.</p>",Business Analyst
555,"Software Engineer professional with 7 years of experience in algorithms, backend development, and MongoDB.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>algorithms</i>, <i>backend development</i>, and <i>MongoDB</i>.</p>",Software Engineer
556,"Software Engineer professional with 6 years of experience in Java, algorithms, and Python.","<p>Software Engineer professional with <b>6 years</b> of experience in <i>Java</i>, <i>algorithms</i>, and <i>Python</i>.</p>",Software Engineer
557,"HR professional with 3 years of experience in HR policies, onboarding, and conflict resolution.","<p>HR professional with <b>3 years</b> of experience in <i>HR policies</i>, <i>onboarding</i>, and <i>conflict resolution</i>.</p>",HR
558,"Business Analyst professional with 7 years of experience in Excel, client communication, and data interpretation.","<p>Business Analyst professional with <b>7 years</b> of experience in <i>Excel</i>, <i>client communication</i>, and <i>data interpretation</i>.</p>",Business Analyst
559,"Software Engineer professional with 2 years of experience in algorithms, Python, and Node.js.","<p>Software Engineer professional with <b>2 years</b> of experience in <i>algorithms</i>, <i>Python</i>, and <i>Node.js</i>.</p>",Software Engineer
560,"Software Engineer professional with 7 years of experience in Python, algorithms, and MongoDB.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>Python</i>, <i>algorithms</i>, and <i>MongoDB</i>.</p>",Software Engineer
561,"Mechanical Engineer professional with 6 years of experience in thermodynamics, AutoCAD, and CAD tools.","<p>Mechanical Engineer professional with <b>6 years</b> of experience in <i>thermodynamics</i>, <i>AutoCAD</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
562,"Business Analyst professional with 4 years of experience in data interpretation, Excel, and client communication.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>data interpretation</i>, <i>Excel</i>, and <i>client communication</i>.</p>",Business Analyst
563,"Software Engineer professional with 4 years of experience in Node.js, backend development, and algorithms.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>Node.js</i>, <i>backend development</i>, and <i>algorithms</i>.</p>",Software Engineer
564,"Marketing professional with 2 years of experience in SEM, content creation, and analytics.","<p>Marketing professional with <b>2 years</b> of experience in <i>SEM</i>, <i>content creation</i>, and <i>analytics</i>.</p>",Marketing
565,"Business Analyst professional with 6 years of experience in client communication, SQL, and data interpretation.","<p>Business Analyst professional with <b>6 years</b> of experience in <i>client communication</i>, <i>SQL</i>, and <i>data interpretation</i>.</p>",Business Analyst
566,"Business Analyst professional with 4 years of experience in dashboard reporting, client communication, and Excel.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>dashboard reporting</i>, <i>client communication</i>, and <i>Excel</i>.</p>",Business Analyst
567,"Marketing professional with 2 years of experience in analytics, SEM, and content creation.","<p>Marketing professional with <b>2 years</b> of experience in <i>analytics</i>, <i>SEM</i>, and <i>content creation</i>.</p>",Marketing
568,"Mechanical Engineer professional with 1 years of experience in quality inspection, thermodynamics, and SolidWorks.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>quality inspection</i>, <i>thermodynamics</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
569,"HR professional with 6 years of experience in recruitment, talent acquisition, and conflict resolution.","<p>HR professional with <b>6 years</b> of experience in <i>recruitment</i>, <i>talent acquisition</i>, and <i>conflict resolution</i>.</p>",HR
570,"Mechanical Engineer professional with 6 years of experience in SolidWorks, thermodynamics, and CAD tools.","<p>Mechanical Engineer professional with <b>6 years</b> of experience in <i>SolidWorks</i>, <i>thermodynamics</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
571,"HR professional with 3 years of experience in onboarding, employee engagement, and HR policies.","<p>HR professional with <b>3 years</b> of experience in <i>onboarding</i>, <i>employee engagement</i>, and <i>HR policies</i>.</p>",HR
572,"Marketing professional with 4 years of experience in SEO, content creation, and social media.","<p>Marketing professional with <b>4 years</b> of experience in <i>SEO</i>, <i>content creation</i>, and <i>social media</i>.</p>",Marketing
573,"Software Engineer professional with 1 years of experience in Python, data structures, and Java.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>Python</i>, <i>data structures</i>, and <i>Java</i>.</p>",Software Engineer
574,"HR professional with 3 years of experience in employee engagement, talent acquisition, and HR policies.","<p>HR professional with <b>3 years</b> of experience in <i>employee engagement</i>, <i>talent acquisition</i>, and <i>HR policies</i>.</p>",HR
575,"Mechanical Engineer professional with 5 years of experience in CAD tools, SolidWorks, and AutoCAD.","<p>Mechanical Engineer professional with <b>5 years</b> of experience in <i>CAD tools</i>, <i>SolidWorks</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
576,"HR professional with 4 years of experience in onboarding, recruitment, and employee engagement.","<p>HR professional with <b>4 years</b> of experience in <i>onboarding</i>, <i>recruitment</i>, and <i>employee engagement</i>.</p>",HR
577,"Mechanical Engineer professional with 1 years of experience in SolidWorks, AutoCAD, and thermodynamics.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>SolidWorks</i>, <i>AutoCAD</i>, and <i>thermodynamics</i>.</p>",Mechanical Engineer
578,"HR professional with 5 years of experience in talent acquisition, recruitment, and HR policies.","<p>HR professional with <b>5 years</b> of experience in <i>talent acquisition</i>, <i>recruitment</i>, and <i>HR policies</i>.</p>",HR
579,"Business Analyst professional with 5 years of experience in Excel, data interpretation, and client communication.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>Excel</i>, <i>data interpretation</i>, and <i>client communication</i>.</p>",Business Analyst
580,"Marketing professional with 3 years of experience in social media, content creation, and SEO.","<p>Marketing professional with <b>3 years</b> of experience in <i>social media</i>, <i>content creation</i>, and <i>SEO</i>.</p>",Marketing
581,"Marketing professional with 7 years of experience in digital campaigns, SEO, and social media.","<p>Marketing professional with <b>7 years</b> of experience in <i>digital campaigns</i>, <i>SEO</i>, and <i>social media</i>.</p>",Marketing
582,"Business Analyst professional with 5 years of experience in dashboard reporting, Excel, and data interpretation.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>dashboard reporting</i>, <i>Excel</i>, and <i>data interpretation</i>.</p>",Business Analyst
583,"Business Analyst professional with 3 years of experience in dashboard reporting, Power BI, and Excel.","<p>Business Analyst professional with <b>3 years</b> of experience in <i>dashboard reporting</i>, <i>Power BI</i>, and <i>Excel</i>.</p>",Business Analyst
584,"Marketing professional with 1 years of experience in SEO, content creation, and digital campaigns.","<p>Marketing professional with <b>1 years</b> of experience in <i>SEO</i>, <i>content creation</i>, and <i>digital campaigns</i>.</p>",Marketing
585,"Business Analyst professional with 5 years of experience in client communication, dashboard reporting, and Excel.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>client communication</i>, <i>dashboard reporting</i>, and <i>Excel</i>.</p>",Business Analyst
586,"Mechanical Engineer professional with 2 years of experience in SolidWorks, CAD tools, and quality inspection.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>SolidWorks</i>, <i>CAD tools</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
587,"HR professional with 5 years of experience in conflict resolution, talent acquisition, and HR policies.","<p>HR professional with <b>5 years</b> of experience in <i>conflict resolution</i>, <i>talent acquisition</i>, and <i>HR policies</i>.</p>",HR
588,"HR professional with 5 years of experience in HR policies, employee engagement, and onboarding.","<p>HR professional with <b>5 years</b> of experience in <i>HR policies</i>, <i>employee engagement</i>, and <i>onboarding</i>.</p>",HR
589,"Mechanical Engineer professional with 1 years of experience in quality inspection, SolidWorks, and thermodynamics.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>quality inspection</i>, <i>SolidWorks</i>, and <i>thermodynamics</i>.</p>",Mechanical Engineer
590,"Marketing professional with 3 years of experience in SEO, content creation, and analytics.","<p>Marketing professional with <b>3 years</b> of experience in <i>SEO</i>, <i>content creation</i>, and <i>analytics</i>.</p>",Marketing
591,"Mechanical Engineer professional with 6 years of experience in thermodynamics, AutoCAD, and manufacturing processes.","<p>Mechanical Engineer professional with <b>6 years</b> of experience in <i>thermodynamics</i>, <i>AutoCAD</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
592,"Business Analyst professional with 2 years of experience in Power BI, Excel, and SQL.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>Power BI</i>, <i>Excel</i>, and <i>SQL</i>.</p>",Business Analyst
593,"HR professional with 6 years of experience in conflict resolution, onboarding, and employee engagement.","<p>HR professional with <b>6 years</b> of experience in <i>conflict resolution</i>, <i>onboarding</i>, and <i>employee engagement</i>.</p>",HR
594,"Software Engineer professional with 6 years of experience in Python, data structures, and backend development.","<p>Software Engineer professional with <b>6 years</b> of experience in <i>Python</i>, <i>data structures</i>, and <i>backend development</i>.</p>",Software Engineer
